X-Value,Measured,Fitted,Residual,IRF
0,0.1,0.1,0,0.1
0.0490525226967008,0.1,0.1,0,0.1
0.0981050453934015,0.1,0.1,0,0.1
0.147157568090102,0.1,0.1,0,0.1
0.196210090786803,0.1,0.1,0,724.5121754791
0.245262613483504,566,0.1,0,1692
0.294315136180205,620,0.1,0,715.590659390018
0.343367658876905,563,0.1,0,0.1
0.392420181573606,598,0.1,0,0.1
0.441472704270307,527,0.1,0,0.1
0.490525226967008,635,0.1,0,0.1
0.539577749663708,549,0.1,0,0.1
0.588630272360409,583,0.1,0,0.1
0.63768279505711,615,0.1,0,0.1
0.686735317753811,651,0.1,0,0.1
0.735787840450511,681,0.1,0,0.1
0.784840363147212,782,0.1,0,0.1
0.833892885843913,868,0.1,0,0.1
0.882945408540614,1031,0.1,0,0.1
0.931997931237314,1131,0.1,0,0.1
0.981050453934015,1210,0.1,0,0.1
1.03010297663072,1262,0.1,0,0.1
1.07915549932742,1304,0.1,0,0.1
1.12820802202412,1383,0.1,0,0.1
1.17726054472082,1432,0.1,0,0.1
1.22631306741752,1526,0.1,0,0.1
1.27536559011422,1576,0.1,0,0.1
1.32441811281092,1585,0.1,0,0.1
1.37347063550762,1590,0.1,0,0.1
1.42252315820432,1662,0.1,0,0.1
1.47157568090102,1645,0.1,0,0.1
1.52062820359772,1625,0.1,0,0.1
1.56968072629442,1673,0.1,0,0.1
1.61873324899112,1692,0.1,0,0.1
1.66778577168783,1616,0.1,0,0.1
1.71683829438453,1655,0.1,0,0.1
1.76589081708123,1572,0.1,0,0.1
1.81494333977793,1601,0.1,0,0.1
1.86399586247463,1602,0.1,0,0.1
1.91304838517133,1571,0.1,0,0.1
1.96210090786803,1513,0.1,0,0.1
2.01115343056473,1399,0.1,0,0.1
2.06020595326143,1468,0.1,0,0.1
2.10925847595813,1369,0.1,0,0.1
2.15831099865483,1278,0.1,0,0.1
2.20736352135153,1320,0.1,0,0.1
2.25641604404823,1277,0.1,0,0.1
2.30546856674494,1249,0.1,0,0.1
2.35452108944164,1197,0.1,0,0.1
2.40357361213834,1208,0.1,0,0.1
2.45262613483504,1132,0.1,0,0.1
2.50167865753174,1098,0.1,0,0.1
2.55073118022844,1091,0.1,0,0.1
2.59978370292514,1002,0.1,0,0.1
2.64883622562184,1036,0.1,0,0.1
2.69788874831854,967,0.1,0,0.1
2.74694127101524,953,0.1,0,0.1
2.79599379371194,970,0.1,0,0.1
2.84504631640864,899,0.1,0,0.1
2.89409883910534,876,0.1,0,0.1
2.94315136180205,911,0.1,0,0.1
2.99220388449875,871,0.1,0,0.1
3.04125640719545,865,0.1,0,0.1
3.09030892989215,900,0.1,0,0.1
3.13936145258885,856,0.1,0,0.1
3.18841397528555,794,0.1,0,0.1
3.23746649798225,898,0.1,0,0.1
3.28651902067895,791,0.1,0,0.1
3.33557154337565,761,0.1,0,0.1
3.38462406607235,806,0.1,0,0.1
3.43367658876905,781,0.1,0,0.1
3.48272911146575,750,0.1,0,0.1
3.53178163416245,736,0.1,0,0.1
3.58083415685915,744,0.1,0,0.1
3.62988667955586,706,0.1,0,0.1
3.67893920225256,768,0.1,0,0.1
3.72799172494926,743,0.1,0,0.1
3.77704424764596,708,0.1,0,0.1
3.82609677034266,710,0.1,0,0.1
3.87514929303936,687,0.1,0,0.1
3.92420181573606,723,0.1,0,0.1
3.97325433843276,723,0.1,0,0.1
4.02230686112946,672,0.1,0,0.1
4.07135938382616,697,0.1,0,0.1
4.12041190652286,644,0.1,0,0.1
4.16946442921956,656,0.1,0,0.1
4.21851695191627,643,0.1,0,0.1
4.26756947461297,703,0.1,0,0.1
4.31662199730967,626,0.1,0,0.1
4.36567452000637,661,0.1,0,0.1
4.41472704270307,675,0.1,0,0.1
4.46377956539977,671,0.1,0,0.1
4.51283208809647,608,0.1,0,0.1
4.56188461079317,622,0.1,0,0.1
4.61093713348987,601,0.1,0,0.1
4.65998965618657,630,0.1,0,0.1
4.70904217888327,647,0.1,0,0.1
4.75809470157997,640,0.1,0,0.1
4.80714722427667,672,0.1,0,0.1
4.85619974697337,671,0.1,0,0.1
4.90525226967008,591,0.1,0,0.1
4.95430479236678,613,0.1,0,0.1
5.00335731506348,638,0.1,0,0.1
5.05240983776018,624,0.1,0,0.1
5.10146236045688,647,0.1,0,0.1
5.15051488315358,658,0.1,0,0.1
5.19956740585028,604,0.1,0,0.1
5.24861992854698,628,0.1,0,0.1
5.29767245124368,665,0.1,0,0.1
5.34672497394038,593,0.1,0,0.1
5.39577749663708,616,0.1,0,0.1
5.44483001933378,619,0.1,0,0.1
5.49388254203048,585,0.1,0,0.1
5.54293506472719,577,0.1,0,0.1
5.59198758742389,597,0.1,0,0.1
5.64104011012059,606,0.1,0,0.1
5.69009263281729,607,0.1,0,0.1
5.73914515551399,611,0.1,0,0.1
5.78819767821069,642,0.1,0,0.1
5.83725020090739,632,0.1,0,0.1
5.88630272360409,613,0.1,0,0.1
5.93535524630079,600,0.1,0,0.1
5.98440776899749,606,0.1,0,0.1
6.03346029169419,579,0.1,0,0.1
6.08251281439089,599,0.1,0,0.1
6.13156533708759,633,0.1,0,0.1
6.1806178597843,587,0.1,0,0.1
6.229670382481,606,0.1,0,0.1
6.2787229051777,591,0.1,0,0.1
6.3277754278744,592,0.1,0,0.1
6.3768279505711,590,0.1,0,0.1
6.4258804732678,617,0.1,0,0.1
6.4749329959645,595,0.1,0,0.1
6.5239855186612,600,0.1,0,0.1
6.5730380413579,604,0.1,0,0.1
6.6220905640546,634,0.1,0,0.1
