X-Value,Measured,Fitted,Residual,IRF
0,0.1,0.1,0,0.1
0.0490525226967008,0.1,0.1,0,0.1
0.0981050453934015,0.1,0.1,0,0.1
0.147157568090102,0.1,0.1,0,0.1
0.196210090786803,0.1,0.1,0,0.1
0.245262613483504,9706,0.1,0,0.1
0.294315136180205,9700,0.1,0,0.1
0.343367658876905,9713,0.1,0,0.1
0.392420181573606,9543,0.1,0,0.1
0.441472704270307,9518,0.1,0,0.1
0.490525226967008,9654,0.1,0,0.1
0.539577749663708,9662,0.1,0,0.1
0.588630272360409,9541,0.1,0,0.1
0.63768279505711,9768,0.1,0,0.1
0.686735317753811,10337,0.1,0,0.1
0.735787840450511,11036,0.1,0,0.1
0.784840363147212,12715,0.1,0,0.1
0.833892885843913,15069,0.1,0,0.1
0.882945408540614,17958,0.1,0,0.1
0.931997931237314,20838,0.1,0,0.1
0.981050453934015,24160,0.1,0,0.1
1.03010297663072,27344,0.1,0,0.1
1.07915549932742,29859,0.1,0,0.1
1.12820802202412,32939,0.1,0,0.1
1.17726054472082,34894,0.1,0,0.1
1.22631306741752,36765,0.1,0,0.1
1.27536559011422,38859,0.1,0,0.1
1.32441811281092,40680,0.1,0,0.1
1.37347063550762,41621,0.1,0,0.1
1.42252315820432,42906,0.1,0,0.1
1.47157568090102,43425,0.1,0,0.1
1.52062820359772,44666,0.1,0,0.1
1.56968072629442,44932,0.1,0,0.1
1.61873324899112,45264,0.1,0,0.1
1.66778577168783,45204,0.1,0,0.1
1.71683829438453,44852,0.1,0,0.1
1.76589081708123,44796,0.1,0,0.1
1.81494333977793,44323,0.1,0,0.1
1.86399586247463,43514,0.1,0,0.1
1.91304838517133,42792,43375.875,-2.82253013789873,0.1
1.96210090786803,41493,42060.6158647174,-2.78655171442366,0.1
2.01115343056473,40475,40785.2384976514,-1.54206350785564,0.1
2.06020595326143,39531,39548.5335892497,-0.0881864637784178,0.1
2.10925847595813,38653,38349.3284990863,1.54458720391141,0.1
2.15831099865483,37813,37186.4861439665,3.22188557913734,0.1
2.20736352135153,36198,36058.9039197483,0.731092963215286,0.1
2.25641604404823,35524,34965.512655855,2.96314159784429,0.1
2.30546856674494,34182,33905.2756014911,1.49674810584274,0.1
2.35452108944164,33247,32877.1874425978,2.02817498684249,0.1
2.40357361213834,32294,31880.2733486164,2.30225050892993,0.1
2.45262613483504,31149,30913.5880481567,1.33384834355245,0.1
2.50167865753174,29945,29976.2149326933,-0.180384926637754,0.1
2.55073118022844,28711,29067.2651874393,-2.10256401669346,0.1
2.59978370292514,28416,28185.8769485746,1.36514458917104,0.1
2.64883622562184,27487,27331.2144860291,0.939644119617016,0.1
2.69788874831854,26443,26502.4674110452,-0.365698912707455,0.1
2.74694127101524,25421,25698.8499077693,-1.74266513164178,0.1
2.79599379371194,24305,24919.5999881434,-3.94225520125637,0.1
2.84504631640864,23783,24163.97876939,-2.47040101281279,0.1
2.89409883910534,23175,23431.2697734051,-1.68340073896411,0.1
2.94315136180205,22606,22720.7782473957,-0.763392216116712,0.1
2.99220388449875,21806,22031.8305051169,-1.5293067381637,0.1
3.04125640719545,21256,21363.7732880843,-0.739214304603653,0.1
3.09030892989215,20709,20715.9731461561,-0.0484561833543354,0.1
3.13936145258885,19902,20087.8158368972,-1.31714735704658,0.1
3.18841397528555,19574,19478.705743156,0.681125179792155,0.1
3.23746649798225,19298,18888.0653083021,2.9509273803774,0.1
3.28651902067895,18709,18315.3344885882,0,0.1
3.33557154337565,18599,0.1,0,0.1
3.38462406607235,18135,0.1,0,0.1
3.43367658876905,17528,0.1,0,0.1
3.48272911146575,17333,0.1,0,0.1
3.53178163416245,16804,0.1,0,0.1
3.58083415685915,16763,0.1,0,0.1
3.62988667955586,16344,0.1,0,0.1
3.67893920225256,15961,0.1,0,0.1
3.72799172494926,15825,0.1,0,0.1
3.77704424764596,15580,0.1,0,0.1
3.82609677034266,15260,0.1,0,0.1
3.87514929303936,15132,0.1,0,0.1
3.92420181573606,15057,0.1,0,0.1
3.97325433843276,14811,0.1,0,0.1
4.02230686112946,14785,0.1,0,0.1
4.07135938382616,14427,0.1,0,0.1
4.12041190652286,14328,0.1,0,0.1
4.16946442921956,13946,0.1,0,0.1
4.21851695191627,14085,0.1,0,0.1
4.26756947461297,13916,0.1,0,0.1
4.31662199730967,13947,0.1,0,0.1
4.36567452000637,13508,0.1,0,0.1
4.41472704270307,13439,0.1,0,0.1
4.46377956539977,13303,0.1,0,0.1
4.51283208809647,13342,0.1,0,0.1
4.56188461079317,13268,0.1,0,0.1
4.61093713348987,12903,0.1,0,0.1
4.65998965618657,13098,0.1,0,0.1
4.70904217888327,12738,0.1,0,0.1
4.75809470157997,12858,0.1,0,0.1
4.80714722427667,12875,0.1,0,0.1
4.85619974697337,12646,0.1,0,0.1
4.90525226967008,12802,0.1,0,0.1
4.95430479236678,12834,0.1,0,0.1
5.00335731506348,12440,0.1,0,0.1
5.05240983776018,12666,0.1,0,0.1
5.10146236045688,12356,0.1,0,0.1
5.15051488315358,12488,0.1,0,0.1
5.19956740585028,12185,0.1,0,0.1
5.24861992854698,12338,0.1,0,0.1
5.29767245124368,12352,0.1,0,0.1
5.34672497394038,12150,0.1,0,0.1
5.39577749663708,12081,0.1,0,0.1
5.44483001933378,12249,0.1,0,0.1
5.49388254203048,12053,0.1,0,0.1
5.54293506472719,12092,0.1,0,0.1
5.59198758742389,12091,0.1,0,0.1
5.64104011012059,12311,0.1,0,0.1
5.69009263281729,11862,0.1,0,0.1
5.73914515551399,11912,0.1,0,0.1
