bl,bg,name
3.1976666666666667,2.327,PMA
3.219616666666667,2.342,4FPMA
3.1849849999999997,2.363,4ClPMA
3.186783333333333,2.365,4BrPMA
3.176258333333333,2.37,PEA
3.186733333333333,2.372,4FPEA
3.1762333333333332,2.373,4ClPEA
3.1753666666666667,2.375,4BrPEA
3.2580666666666662,2.447,R-MBA
3.2517833333333335,2.424,S-MBA
3.2577,2.415,rac-MBA
3.1863333333333332,2.362,BA
