std,bg,name
0.007053289224814835,2.327,PMA
0.050111156996776166,2.342,4FPMA
0.0303948508522962,2.363,4ClPMA
0.031263312719899426,2.365,4BrPMA
0.024822481020887015,2.37,PEA
0.024265384581516343,2.372,4FPEA
0.022758490479135394,2.373,4ClPEA
0.02849845999737905,2.375,4BrPEA
0.0711310918109811,2.447,R-MBA
0.07324013964729692,2.424,S-MBA
0.054344150252503415,2.415,rac-MBA
0.012119772641798534,2.362,BA
