name,bg,vbas
PMA,2.327,112.10303
4FPMA,2.342,113.00027
4ClPMA,2.363,108.77005
4BrPMA,2.365,108.65952
PEA,2.370,107.53719
4FPEA,2.372,109.20186
4ClPEA,2.373,107.93702
4BrPEA,2.375,107.69701
