name,bg,vbas
PMA,2.327,111.27674
PMA,2.327,112.46006
PMA,2.327,112.46006
PMA,2.327,112.21526
4FPMA,2.342,111.79023
4FPMA,2.342,112.99357
4FPMA,2.342,114.21701
4ClPMA,2.363,109.19309
4ClPMA,2.363,108.35434
4ClPMA,2.363,108.76271
4BrPMA,2.365,108.30688
4BrPMA,2.365,109.01215
PEA,2.370,107.53719
4FPEA,2.372,109.20186
4ClPEA,2.373,107.93702
4BrPEA,2.375,107.69701
R-MBA,2.447,116.29990
S-MBA,2.424,115.57692
rac-MBA,2.415,117.28324
BA,2.362,104.60519
